/root/miniconda3/envs/diffsheg/lib/python3.9/site-packages/mmcv/__init__.py:20: UserWarning: On January 1, 2023, MMCV will release v2.0.0, in which it will remove components related to the training process and add a data transformation module. In addition, it will rename the package names mmcv to mmcv-lite and mmcv-full to mmcv. See https://github.com/open-mmlab/mmcv/blob/master/docs/en/compatibility.md for more details.
  warnings.warn(
2026-08-30 17:56:28.934 | INFO     | datasets.beat:build_cache:440 - Audio bit rate: 16000
2026-08-30 17:56:28.934 | INFO     | datasets.beat:build_cache:441 - Reading data 'data/BEAT/beat_cache/beat_4english_15_141_sync_v1/train/'...
2026-08-30 17:56:28.934 | INFO     | datasets.beat:build_cache:444 - Creating the dataset cache...
2026-08-30 17:56:28.935 | INFO     | datasets.beat:cache_generation:496 - # ---- Building cache for Pose   1_wayne_0_100_100 ---- #
2026-08-30 17:56:28.946 | INFO     | datasets.beat:cache_generation:504 - # ---- Building cache for Audio  1_wayne_0_100_100 and Pose 1_wayne_0_100_100 ---- #
2026-08-30 17:56:28.947 | INFO     | datasets.beat:cache_generation:525 - # ---- Building cache for Facial 1_wayne_0_100_100 and Pose 1_wayne_0_100_100 ---- #
2026-08-30 17:56:28.958 | INFO     | datasets.beat:cache_generation:548 - # ---- Building cache for Sem    1_wayne_0_100_100 and Pose 1_wayne_0_100_100 ---- #
2026-08-30 17:56:28.966 | INFO     | datasets.beat:_sample_from_clip:614 - audio: 57s, pose: 57s, facial: 57s
2026-08-30 17:56:28.966 | INFO     | datasets.beat:_sample_from_clip:640 - pose from frame 0 to 855, length 34
2026-08-30 17:56:28.966 | INFO     | datasets.beat:_sample_from_clip:641 - 83 clips is expected with stride 10
2026-08-30 17:56:28.966 | INFO     | datasets.beat:_sample_from_clip:650 - audio from frame 0 to 912000, length 36266
2026-08-30 17:56:29.828 | INFO     | datasets.beat:cache_generation:496 - # ---- Building cache for Pose   1_wayne_0_101_101 ---- #
2026-08-30 17:56:29.838 | INFO     | datasets.beat:cache_generation:504 - # ---- Building cache for Audio  1_wayne_0_101_101 and Pose 1_wayne_0_101_101 ---- #
2026-08-30 17:56:29.839 | INFO     | datasets.beat:cache_generation:525 - # ---- Building cache for Facial 1_wayne_0_101_101 and Pose 1_wayne_0_101_101 ---- #
2026-08-30 17:56:29.851 | INFO     | datasets.beat:cache_generation:548 - # ---- Building cache for Sem    1_wayne_0_101_101 and Pose 1_wayne_0_101_101 ---- #
2026-08-30 17:56:29.859 | INFO     | datasets.beat:_sample_from_clip:614 - audio: 60s, pose: 60s, facial: 60s
2026-08-30 17:56:29.859 | INFO     | datasets.beat:_sample_from_clip:640 - pose from frame 0 to 900, length 34
2026-08-30 17:56:29.859 | INFO     | datasets.beat:_sample_from_clip:641 - 87 clips is expected with stride 10
2026-08-30 17:56:29.859 | INFO     | datasets.beat:_sample_from_clip:650 - audio from frame 0 to 960000, length 36266
2026-08-30 17:56:30.227 | INFO     | datasets.beat:cache_generation:496 - # ---- Building cache for Pose   1_wayne_0_102_102 ---- #
2026-08-30 17:56:30.249 | INFO     | datasets.beat:cache_generation:504 - # ---- Building cache for Audio  1_wayne_0_102_102 and Pose 1_wayne_0_102_102 ---- #
2026-08-30 17:56:30.250 | INFO     | datasets.beat:cache_generation:525 - # ---- Building cache for Facial 1_wayne_0_102_102 and Pose 1_wayne_0_102_102 ---- #
